Cleanup_ID,Country,State,Zone,GPS,Cleanup_type,Cleanup_date,Animal,Animal_Status,
5696,United States,"Florida, USA","New Smyrna Beach, FL, USA","29.038533805616, -80.895520448685",land,09/17/2016,Sea turtle,dead,
5700,United States,"Florida, USA","New Smyrna Beach, FL, USA","29.0087607, -80.8784225",land,09/17/2016,Fish,dead,
5700,United States,"Florida, USA","New Smyrna Beach, FL, USA","29.0087607, -80.8784225",land,09/17/2016,Bird,dead,
5701,United States,"Florida, USA","Volusia County, FL, USA","28.9508924, -80.8389898",land,09/17/2016,Loggerhead hatchling,dead,
5701,United States,"Florida, USA","Volusia County, FL, USA","28.9508924, -80.8389898",land,09/17/2016,Bird,dead,
5701,United States,"Florida, USA","Volusia County, FL, USA","28.9508924, -80.8389898",land,09/17/2016,Baby shark,dead,
5704,United States,"Florida, USA","Ormond Beach, FL, USA","29.285618, -81.0549668",land,09/17/2016,Horseshoe crab,dead,
5707,United States,"Florida, USA","Port Orange, FL, USA","29.1494521, -80.9888214",land,09/17/2016,Dog,dead,
5707,United States,"Florida, USA","Port Orange, FL, USA","29.1494521, -80.9888214",land,09/17/2016,5 Fish,dead,
5719,United States,"Florida, USA","Volusia County, FL, USA","29.381262212918, -81.081773042679",land,09/17/2016,Fish,dead,
5719,United States,"Florida, USA","Volusia County, FL, USA","29.381262212918, -81.081773042679",land,09/17/2016,2 Pelicans,dead,
5721,Jamaica,,"Discovery Bay, Jamaica","18.46037605577, -77.40136384964",land,09/17/2016,dog,injured,
5722,United States,"Florida, USA","Daytona Beach, FL, USA","29.254572893058, -81.020286083221",land,09/17/2016,3 birds,dead,
5725,United States,"Florida, USA","Daytona Beach Shores, FL 32118, USA","29.14798891783, -80.966287851334",land,09/17/2016,2 Seagulls,dead,
5727,United States,"Florida, USA","Ponce Inlet, FL, USA","29.097140371793, -80.935227870941",land,09/17/2016,2 Fish,dead,
5727,United States,"Florida, USA","Ponce Inlet, FL, USA","29.097140371793, -80.935227870941",land,09/17/2016,6 crabs,dead,
5727,United States,"Florida, USA","Ponce Inlet, FL, USA","29.097140371793, -80.935227870941",land,09/17/2016,Bird,dead,
5728,United States,"Florida, USA","Citrus County, FL, USA","28.904912321588, -82.634074687958",watercraft,09/17/2016,bird,dead,
5728,United States,"Florida, USA","Citrus County, FL, USA","28.904912321588, -82.634074687958",watercraft,09/17/2016,fish,dead,
5730,United States,"Florida, USA","Ponce Inlet, FL, USA","29.089809002061, -80.929391384125",land,09/17/2016,sea turtle washback,injured,
5731,United States,"Florida, USA","Ponce Inlet, FL, USA","29.082664633287, -80.922288894653",land,09/17/2016,Bird,dead,
5731,United States,"Florida, USA","Ponce Inlet, FL, USA","29.082664633287, -80.922288894653",land,09/17/2016,Fish,dead,
5736,United States,"Florida, USA","Volusia County, FL, USA","29.073525213596, -80.912579298019",land,09/17/2016,Catfish,dead,
5737,United States,"Florida, USA","New Smyrna Beach, FL, USA","29.065929588867, -80.910433530807",land,09/17/2016,Fish,dead,
5740,Jamaica,"Saint Catherine Parish, Jamaica","Portmore, Jamaica","17.948350319171, -76.87432050705",land,09/17/2016,Dog,dead,
5740,Jamaica,"Saint Catherine Parish, Jamaica","Portmore, Jamaica","17.948350319171, -76.87432050705",land,09/17/2016,Dog,dead,
5760,Jamaica,"Saint Catherine Parish, Jamaica",,"17.90532379148, -77.093312144279",land,09/17/2016,fish,dead,
5766,United States,"Washington, USA","Kitsap County, WA, USA","47.5376679, -122.4954007",land,09/25/2016,deer,dead,
5766,United States,"Washington, USA","Kitsap County, WA, USA","47.5376679, -122.4954007",land,09/25/2016,bird,dead,
5771,Guam,,"Dededo, Guam","13.51242360407, 144.83305335045",land,09/17/2016,Dog,dead,
5771,Guam,,"Dededo, Guam","13.51242360407, 144.83305335045",land,09/17/2016,Snake,dead,
5772,Mexico,"Quintana Roo, Mexico","Cozumel, Quintana Roo, Mexico","20.412855876879, -86.859283447266",land,09/17/2016,cangrejo,injured,
5772,Mexico,"Quintana Roo, Mexico","Cozumel, Quintana Roo, Mexico","20.412855876879, -86.859283447266",land,09/17/2016,cria de tortuga,dead,
5772,Mexico,"Quintana Roo, Mexico","Cozumel, Quintana Roo, Mexico","20.412855876879, -86.859283447266",land,09/17/2016,ave marina,dead,
5773,Cyprus,"Larnaca, Cyprus",,"34.97698611323, 33.697814941406",land,05/01/2015,3,dead,
